시도,시군구,구분,2014,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,
,,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,,차량단독,,,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,,차량단독,,,,,,,철길건널목,
,,중상자수,60,27,9,2,1,1,14,29,0,8,11,10,4,,,,4,,,,65,29,11,5,1,5,7,33,0,14,16,3,3,1,,,2,,59,27,14,2,0,1,10,27,3,12,7,5,5,,,,3,2,,,61,27,20,4,0,2,1,32,,3,18,7,4,2,,,,2,,,0,,,68,36,23,2,2,1,8,30,0,3,16,8,3,2,0,,,2,,,,
,,경상자수,76,14,5,0,0,0,9,56,5,13,15,23,6,,,,6,,,,72,16,5,2,1,3,5,52,1,24,24,3,4,2,,,2,,98,18,5,1,3,1,8,76,4,21,29,22,4,,,,4,0,,,72,16,6,5,1,0,4,50,,4,23,20,3,6,,,,5,,,1,,,69,15,8,1,3,1,2,51,1,6,21,17,6,3,0,,,3,,,,
,,부상신고자수,3,1,0,0,0,0,1,2,0,2,0,0,0,,,,0,,,,6,0,0,0,0,0,0,6,0,1,5,0,0,0,,,0,,5,1,1,0,0,0,0,3,0,2,1,0,1,,,,1,0,,,10,0,0,0,0,0,0,9,,0,7,2,0,1,,,,1,,,0,,,5,1,0,0,0,0,1,4,0,0,1,1,2,0,0,,,0,,,,
,연수구,사고건수,67,17,3,4,1,,9,48,2,11,11,24,2,1,,,1,,,,78,28,7,2,,1,18,47,,15,10,22,3,,,,2,1,82,33,19,2,2,,10,41,,13,13,15,8,1,,,7,,,,67,33,25,4,1,1,2,33,,,23,8,2,1,,,,1,,,,,,72,25,14,3,3,,5,45,,1,33,7,4,2,1,,,1,,,,
,,사망자수,5,3,1,1,0,,1,2,0,0,0,2,0,0,,,0,,,,3,2,1,0,,0,1,1,,1,0,0,0,,,,0,0,2,1,0,1,0,,0,0,,0,0,0,1,0,,,1,,,,1,0,0,0,0,0,0,1,,,1,0,0,0,,,,0,,,,,,6,6,4,1,0,,1,0,,0,0,0,0,0,0,,,0,,,,
,,부상자수,67,14,2,3,1,,8,50,2,13,13,22,3,2,,,1,,,,80,27,7,2,,1,17,50,,15,11,24,3,,,,2,1,84,32,19,1,2,,10,44,,15,14,15,8,1,,,7,,,,68,33,25,4,1,1,2,34,,,23,9,2,1,,,,1,,,,,,69,19,10,2,3,,4,47,,1,35,7,4,3,2,,,1,,,,
,,중상자수,26,10,2,1,1,,6,15,1,6,2,6,1,1,,,0,,,,40,18,4,1,,1,12,20,,8,2,10,2,,,,1,1,46,22,12,0,1,,9,17,,8,1,8,7,1,,,6,,,,39,25,20,2,1,1,1,13,,,11,1,1,1,,,,1,,,,,,38,16,9,2,2,,3,21,,0,19,1,1,1,1,,,0,,,,
,,경상자수,41,4,0,2,0,,2,35,1,7,11,16,2,1,,,1,,,,37,6,3,0,,0,3,30,,7,9,14,1,,,,1,0,37,9,6,1,1,,1,27,,7,13,7,1,0,,,1,,,,26,7,4,2,0,0,1,19,,,10,8,1,0,,,,0,,,,,,29,2,1,0,1,,0,25,,1,15,6,3,2,1,,,1,,,,
,,부상신고자수,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,,3,3,0,1,,0,2,0,,0,0,0,0,,,,0,0,1,1,1,0,0,,0,0,,0,0,0,0,0,,,0,,,,3,1,1,0,0,0,0,2,,,2,0,0,0,,,,0,,,,,,2,1,0,0,0,,1,1,,0,1,0,0,0,0,,,0,,,,
,계양구,사고건수,106,52,23,9,5,3,12,49,4,29,8,8,5,,,,4,1,,,123,57,21,7,2,2,25,56,3,31,12,10,10,2,,,8,,104,50,28,6,1,1,14,52,5,23,15,9,2,,,,2,,,,82,36,19,9,,,8,41,,,26,7,8,5,2,,,2,1,,,,,100,46,17,10,1,3,15,53,,2,25,19,7,1,,,,1,,,,
,,사망자수,7,5,3,1,0,0,1,2,0,2,0,0,0,,,,0,0,,,6,4,2,1,0,0,1,2,0,2,0,0,0,0,,,0,,5,5,4,0,0,0,1,0,0,0,0,0,0,,,,0,,,,3,1,1,0,,,0,2,,,1,1,0,0,0,,,0,0,,,,,4,4,2,1,0,0,1,0,,0,0,0,0,0,,,,0,,,,
,,부상자수,103,47,20,8,5,3,11,51,4,31,8,8,5,,,,4,1,,,126,53,19,6,2,2,24,62,3,33,15,11,11,3,,,8,,103,46,25,6,1,1,13,55,5,23,17,10,2,,,,2,,,,83,36,19,9,,,8,42,,,27,6,9,5,2,,,2,1,,,,,105,42,15,9,1,3,14,62,,3,28,24,7,1,,,,1,,,,
,,중상자수,59,34,16,8,0,1,9,23,2,14,3,4,2,,,,2,0,,,75,43,16,6,1,2,18,26,2,17,2,5,6,1,,,5,,49,30,19,3,1,1,6,19,0,10,6,3,0,,,,0,,,,46,28,15,7,,,6,16,,,13,1,2,2,0,,,1,1,,,,,48,26,10,6,1,2,7,21,,0,12,5,4,1,,,,1,,,,
,,경상자수,41,12,4,0,5,2,1,26,2,17,5,2,3,,,,2,1,,,46,8,3,0,0,0,5,33,1,13,13,6,5,2,,,3,,47,13,3,3,0,0,7,33,2,13,11,7,1,,,,1,,,,35,8,4,2,,,2,24,,,12,5,7,3,2,,,1,0,,,,,51,14,5,3,0,1,5,37,,3,13,19,2,0,,,,0,,,,
,,부상신고자수,3,1,0,0,0,0,1,2,0,0,0,2,0,,,,0,0,,,5,2,0,0,1,0,1,3,0,3,0,0,0,0,,,0,,7,3,3,0,0,0,0,3,3,0,0,0,1,,,,1,,,,2,0,0,0,,,0,2,,,2,0,0,0,0,,,0,0,,,,,6,2,0,0,0,0,2,4,,0,3,0,1,0,,,,0,,,,
,강화군,사고건수,65,23,5,,1,1,16,42,6,4,5,27,,,,,,,,,81,24,11,,4,,9,54,12,16,10,16,3,1,,,,2,63,19,6,6,2,1,4,42,4,26,8,4,2,,,,,2,,,63,20,13,1,4,1,1,42,1,6,24,11,,1,,,,,1,,,,,79,26,15,,6,,5,45,1,2,35,4,3,8,3,,1,1,2,1,,
,,사망자수,6,5,3,,1,0,1,1,1,0,0,0,,,,,,,,,3,2,2,,0,,0,0,0,0,0,0,1,0,,,,1,11,5,1,2,1,1,0,5,2,2,1,0,1,,,,,1,,,6,4,4,0,0,0,0,2,0,0,1,1,,0,,,,,0,,,,,4,1,1,,0,,0,1,0,0,1,0,0,2,0,,0,1,0,1,,
,,부상자수,76,18,2,,0,1,15,58,6,6,10,36,,,,,,,,,85,23,9,,4,,10,59,13,18,11,17,3,1,,,,2,56,16,5,6,1,0,4,39,3,25,7,4,1,,,,,1,,,74,16,9,1,4,1,1,57,1,15,29,12,,1,,,,,1,,,,,94,25,14,,6,,5,53,1,3,40,6,3,16,4,,1,0,11,0,,
,,중상자수,37,14,2,,0,1,11,23,2,1,2,18,,,,,,,,,57,17,6,,3,,8,37,10,10,7,10,3,1,,,,2,41,13,5,4,1,0,3,27,2,18,6,1,1,,,,,1,,,46,12,8,1,1,1,1,33,0,11,15,7,,1,,,,,1,,,,,51,18,11,,4,,3,29,1,3,21,1,3,4,2,,1,0,1,0,,
,,경상자수,34,3,0,,0,0,3,31,2,5,7,17,,,,,,,,,26,6,3,,1,,2,20,3,8,3,6,0,0,,,,0,14,3,0,2,0,0,1,11,1,6,1,3,0,,,,,0,,,27,4,1,0,3,0,0,23,1,3,14,5,,0,,,,,0,,,,,35,7,3,,2,,2,24,0,0,19,5,0,4,2,,0,0,2,0,,
,,부상신고자수,5,1,0,,0,0,1,4,2,0,1,1,,,,,,,,,2,0,0,,0,,0,2,0,0,1,1,0,0,,,,0,1,0,0,0,0,0,0,1,0,1,0,0,0,,,,,0,,,1,0,0,0,0,0,0,1,0,1,0,0,,0,,,,,0,,,,,8,0,0,,0,,0,0,0,0,0,0,0,8,0,,0,0,8,0,,
,옹진군,사고건수,4,3,,,2,,1,1,,1,,,,,,,,,,,10,2,2,,,,,5,1,,1,3,3,1,,1,,1,9,3,1,,1,,1,5,1,3,,1,1,,,,,1,,,4,2,2,,,,,2,,,1,1,,,,,,,,,,,,5,1,,,,,1,2,,,2,,,2,1,,1,,,,,
,,사망자수,0,0,,,0,,0,0,,0,,,,,,,,,,,3,2,2,,,,,0,0,,0,0,1,0,,0,,1,3,1,1,,0,,0,1,0,0,,1,1,,,,,1,,,1,0,0,,,,,1,,,1,0,,,,,,,,,,,,1,0,,,,,0,0,,,0,,,1,0,,1,,,,,
,,부상자수,4,3,,,2,,1,1,,1,,,,,,,,,,,7,0,0,,,,,5,1,,1,3,2,1,,1,,0,6,2,0,,1,,1,4,1,3,,0,0,,,,,0,,,3,2,2,,,,,1,,,0,1,,,,,,,,,,,,4,1,,,,,1,2,,,2,,,1,1,,0,,,,,
,,중상자수,3,2,,,1,,1,1,,1,,,,,,,,,,,1,0,0,,,,,0,0,,0,0,1,0,,1,,0,3,1,0,,0,,1,2,0,2,,0,0,,,,,0,,,1,1,1,,,,,0,,,0,0,,,,,,,,,,,,4,1,,,,,1,2,,,2,,,1,1,,0,,,,,
,,경상자수,1,1,,,1,,0,0,,0,,,,,,,,,,,5,0,0,,,,,5,1,,1,3,0,0,,0,,0,1,1,0,,1,,0,0,0,0,,0,0,,,,,0,,,2,1,1,,,,,1,,,0,1,,,,,,,,,,,,0,0,,,,,0,0,,,0,,,0,0,,0,,,,,
,,부상신고자수,0,0,,,0,,0,0,,0,,,,,,,,,,,1,0,0,,,,,0,0,,0,0,1,1,,0,,0,2,0,0,,0,,0,2,1,1,,0,0,,,,,0,,,0,0,0,,,,,0,,,0,0,,,,,,,,,,,,0,0,,,,,0,0,,,0,,,0,0,,0,,,,,
광주,합계,사고건수,987,298,127,32,20,19,100,652,18,323,162,149,37,9,,2,23,3,,,981,319,173,33,24,17,72,617,57,285,168,107,45,10,,1,29,5,941,319,223,10,14,8,64,589,56,312,142,79,33,2,,,24,7,,,1038,340,227,13,16,5,79,666,2,38,384,119,123,32,8,,,22,1,,1,,,1137,352,175,32,9,9,127,734,10,18,371,143,192,51,6,,3,39,3,,,
,,사망자수,35,21,12,2,0,2,5,13,0,4,3,6,1,0,,0,1,0,,,38,24,20,1,1,1,1,13,2,7,3,1,1,1,,0,0,0,36,21,17,1,0,0,3,12,0,3,5,4,3,0,,,2,1,,,48,33,29,0,2,0,2,14,0,1,7,6,0,1,1,,,0,0,,0,,,44,28,20,2,1,0,5,12,0,1,6,1,4,4,0,,2,2,0,,,
,,부상자수,1065,281,117,30,21,17,96,747,23,371,196,157,37,9,,2,22,4,,,1049,299,156,33,23,16,71,697,62,324,199,112,53,10,,1,35,7,1002,304,208,9,14,8,65,665,66,352,169,78,33,2,,,23,8,,,1126,314,201,13,14,6,80,773,2,47,437,141,146,39,14,,,23,1,,1,,,1245,325,155,31,8,9,122,865,10,18,436,186,215,55,9,,1,40,5,,,
,,중상자수,359,170,80,21,8,8,53,173,11,99,27,36,16,6,,1,7,2,,,346,173,109,14,7,9,34,151,12,76,31,32,22,4,,0,15,3,327,177,133,2,7,3,32,138,17,81,21,19,12,1,,,7,4,,,382,195,129,10,6,4,46,173,0,17,101,23,32,14,7,,,7,0,,0,,,360,178,92,19,6,5,56,162,0,5,87,27,43,20,2,,0,16,2,,,
,,경상자수,681,105,34,9,12,9,41,556,12,259,167,118,20,3,,1,14,2,,,671,119,46,18,13,7,35,522,48,234,162,78,30,5,,1,20,4,645,119,70,6,6,5,32,509,47,259,146,57,17,1,,,14,2,,,718,115,71,3,8,2,31,581,2,30,324,116,109,22,7,,,13,1,,1,,,858,143,62,12,2,4,63,684,10,13,338,155,168,31,5,,1,22,3,,,
,,부상신고자수,25,6,3,0,1,0,2,18,0,13,2,3,1,0,,0,1,0,,,32,7,1,1,3,0,2,24,2,14,6,2,1,1,,0,0,0,30,8,5,1,1,0,1,18,2,12,2,2,4,0,,,2,2,,,26,4,1,0,0,0,3,19,0,0,12,2,5,3,0,,,3,0,,0,,,27,4,1,0,0,0,3,19,0,0,11,4,4,4,2,,0,2,0,,,
,동구,사고건수,119,43,21,1,3,3,15,68,1,44,8,15,8,2,,,6,,,,135,56,28,2,4,4,18,72,9,23,10,30,7,,,,7,,90,39,23,2,1,2,11,48,2,32,5,9,3,,,,2,1,,,126,54,38,,2,2,12,68,,1,33,12,22,4,2,,,2,,,,,,127,43,23,2,1,2,15,76,2,4,25,14,31,8,1,,,6,1,,,
,,사망자수,3,1,0,0,0,0,1,1,0,1,0,0,1,0,,,1,,,,5,3,3,0,0,0,0,2,1,1,0,0,0,,,,0,,4,2,2,0,0,0,0,2,0,0,0,2,0,,,,0,0,,,3,1,1,,0,0,0,2,,0,1,1,0,0,0,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,
,,부상자수,126,42,21,1,3,3,14,77,2,49,10,16,7,2,,,5,,,,143,53,25,2,4,4,18,78,9,25,12,32,12,,,,12,,92,40,21,2,1,2,14,49,2,35,5,7,3,,,,2,1,,,143,54,37,,2,3,12,85,,1,36,20,28,4,2,,,2,,,,,,146,43,23,2,1,2,15,95,2,4,30,26,33,8,1,,,6,1,,,
,,중상자수,45,22,15,0,1,1,5,19,1,14,1,3,4,2,,,2,,,,48,26,18,1,0,2,5,17,1,6,1,9,5,,,,5,,40,24,16,1,1,1,5,15,0,11,0,4,1,,,,1,0,,,55,33,25,,0,2,6,21,,1,8,4,8,1,0,,,1,,,,,,48,27,16,0,1,1,9,17,0,2,10,1,4,4,0,,,4,0,,,
,,경상자수,77,20,6,1,2,2,9,54,1,31,9,13,3,0,,,3,,,,90,25,7,1,4,2,11,58,8,18,9,23,7,,,,7,,48,15,5,1,0,1,8,32,2,23,4,3,1,,,,1,0,,,87,20,12,,2,1,5,64,,0,28,16,20,3,2,,,1,,,,,,93,16,7,2,0,1,6,74,2,2,20,23,27,3,0,,,2,1,,,
,,부상신고자수,4,0,0,0,0,0,0,4,0,4,0,0,0,0,,,0,,,,5,2,0,0,0,0,2,3,0,1,2,0,0,,,,0,,4,1,0,0,0,0,1,2,0,1,1,0,1,,,,0,1,,,1,1,0,,0,0,1,0,,0,0,0,0,0,0,,,0,,,,,,5,0,0,0,0,0,0,4,0,0,0,2,2,1,1,,,0,0,,,
,서구,사고건수,177,52,26,2,3,3,18,119,1,46,32,40,6,1,,1,4,,,,204,58,26,9,8,6,9,140,7,70,45,18,6,1,,1,4,,196,71,52,5,3,,11,117,17,50,36,14,8,,,,8,,,,204,60,38,3,4,,15,134,,1,76,27,30,10,2,,,8,,,,,,248,76,40,6,4,1,25,166,2,2,91,33,38,6,,,1,4,1,,,
,,사망자수,8,8,4,1,0,1,2,0,0,0,0,0,0,0,,0,0,,,,4,3,0,1,1,0,1,1,0,1,0,0,0,0,,0,0,,9,6,4,1,0,,1,2,0,1,1,0,1,,,,1,,,,7,5,4,0,0,,1,2,,0,2,0,0,0,0,,,0,,,,,,5,5,2,1,1,0,1,0,0,0,0,0,0,0,,,0,0,0,,,
,,부상자수,190,46,23,1,3,2,17,138,1,51,43,43,6,1,,1,4,,,,220,55,26,8,7,6,8,159,7,76,55,21,6,1,,1,4,,210,65,48,4,3,,10,138,19,56,47,16,7,,,,7,,,,220,56,34,3,4,,15,147,,1,86,28,32,17,9,,,8,,,,,,268,71,38,5,3,1,24,191,2,2,107,34,46,6,,,1,4,1,,,
,,중상자수,67,34,21,1,2,0,10,28,0,15,1,12,5,1,,1,3,,,,73,35,19,5,2,3,6,37,0,19,12,6,1,0,,0,1,,68,40,34,1,1,,4,27,7,13,4,3,1,,,,1,,,,76,41,23,3,2,,13,26,,0,17,3,6,9,6,,,3,,,,,,67,37,20,3,2,0,12,28,0,0,18,1,9,2,,,0,1,1,,,
,,경상자수,121,11,2,0,1,2,6,109,1,36,42,30,1,0,,0,1,,,,146,20,7,3,5,3,2,121,7,56,43,15,5,1,,1,3,,134,21,11,2,2,,6,108,11,43,42,12,5,,,,5,,,,139,14,11,0,2,,1,117,,1,67,25,24,8,3,,,5,,,,,,194,34,18,2,1,1,12,156,2,2,84,33,35,4,,,1,3,0,,,
,,부상신고자수,2,1,0,0,0,0,1,1,0,0,0,1,0,0,,0,0,,,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,,8,4,3,1,0,,0,3,1,0,1,1,1,,,,1,,,,5,1,0,0,0,,1,4,,0,2,0,2,0,0,,,0,,,,,,7,0,0,0,0,0,0,7,0,0,5,0,2,0,,,0,0,0,,,
,북구,사고건수,319,107,45,11,9,11,31,200,4,97,56,43,12,4,,1,5,2,,,299,116,68,13,9,4,22,170,15,80,45,30,13,2,,,8,3,336,109,83,2,1,2,21,218,16,122,46,34,9,2,,,6,1,,,354,111,78,4,4,1,24,233,2,17,139,35,40,10,3,,,6,,,1,,,372,118,53,13,,3,49,236,2,4,132,33,65,18,3,,,15,,,,
,,사망자수,13,10,6,1,0,1,2,3,0,1,2,0,0,0,,0,0,0,,,16,12,12,0,0,0,0,4,1,1,1,1,0,0,,,0,0,8,4,4,0,0,0,0,4,0,1,2,1,0,0,,,0,0,,,14,11,10,0,1,0,0,2,0,0,1,1,0,1,1,,,0,,,0,,,15,10,8,0,,0,2,4,0,0,3,0,1,1,0,,,1,,,,
,,부상자수,336,98,39,10,10,10,29,225,6,107,66,46,13,4,,1,5,3,,,316,106,58,13,9,4,22,195,17,96,53,29,15,2,,,8,5,361,105,79,2,1,2,21,247,21,137,55,34,9,2,,,6,1,,,387,100,68,4,3,1,24,277,2,21,161,44,49,10,2,,,7,,,1,,,401,109,45,14,,3,47,271,2,4,153,39,73,21,6,,,15,,,,
,,중상자수,105,53,20,7,2,6,18,50,4,21,13,12,2,1,,0,0,1,,,98,61,40,5,3,3,10,32,1,17,8,6,5,1,,,2,2,110,57,43,0,1,0,13,48,5,26,9,8,5,1,,,3,1,,,114,56,44,2,1,0,9,56,0,5,34,9,8,2,0,,,2,,,0,,,107,56,24,11,,3,18,44,0,1,23,6,14,7,1,,,6,,,,
,,경상자수,221,41,16,3,7,4,11,169,2,82,52,33,11,3,,1,5,2,,,204,41,17,8,3,1,12,153,14,72,45,22,10,1,,,6,3,243,46,34,2,0,2,8,193,15,107,46,25,4,1,,,3,0,,,264,43,24,2,2,1,14,215,2,16,123,34,40,6,2,,,3,,,1,,,287,49,20,3,,0,26,226,2,3,129,33,59,12,5,,,7,,,,
,,부상신고자수,10,4,3,0,1,0,0,6,0,4,1,1,0,0,,0,0,0,,,14,4,1,0,3,0,0,10,2,7,0,1,0,0,,,0,0,8,2,2,0,0,0,0,6,1,4,0,1,0,0,,,0,0,,,9,1,0,0,0,0,1,6,0,0,4,1,1,2,0,,,2,,,0,,,7,4,1,0,,0,3,1,0,0,1,0,0,2,0,,,2,,,,
,광산구,사고건수,204,44,14,9,2,,19,153,9,77,43,24,7,,,,6,1,,,207,41,25,5,1,3,7,153,20,71,50,12,13,7,,,4,2,177,42,29,,3,,10,125,14,68,32,11,10,,,,5,5,,,214,56,34,5,3,2,12,151,,10,91,35,15,7,1,,,5,1,,,,,259,65,32,8,2,3,20,178,4,8,79,46,41,16,2,,2,11,1,,,
,,사망자수,3,0,0,0,0,,0,3,0,1,0,2,0,,,,0,0,,,11,5,4,0,0,1,0,5,0,4,1,0,1,1,,,0,0,10,5,3,,0,,2,4,0,1,2,1,1,,,,0,1,,,15,9,7,0,1,0,1,6,,0,3,3,0,0,0,,,0,0,,,,,16,7,5,1,0,0,1,6,0,1,1,1,3,3,0,,2,1,0,,,
,,부상자수,232,44,14,9,2,,19,181,10,93,52,26,7,,,,6,1,,,221,37,22,5,1,2,7,170,23,74,60,13,14,7,,,5,2,193,40,28,,3,,9,142,15,81,36,10,11,,,,5,6,,,222,49,28,5,2,2,12,166,,12,100,38,16,7,1,,,5,1,,,,,289,58,27,7,2,3,19,214,4,8,93,67,42,17,2,,0,12,3,,,
,,중상자수,75,30,11,7,1,,11,43,6,28,6,3,2,,,,1,1,,,69,24,15,1,1,1,6,37,8,15,9,5,8,3,,,4,1,60,22,16,,1,,5,34,4,22,6,2,4,,,,1,3,,,82,30,14,4,1,2,9,50,,6,33,6,5,2,1,,,1,0,,,,,86,28,15,3,2,1,7,53,0,2,24,16,11,5,1,,0,3,1,,,
,,경상자수,153,14,3,2,1,,8,134,4,63,45,22,5,,,,5,0,,,143,12,7,3,0,1,1,126,15,56,47,8,5,3,,,1,1,125,17,12,,1,,4,103,11,54,30,8,5,,,,3,2,,,137,19,14,1,1,0,3,114,,6,65,32,11,4,0,,,3,1,,,,,198,30,12,4,0,2,12,157,4,6,66,50,31,11,0,,0,9,2,,,
,,부상신고자수,4,0,0,0,0,,0,4,0,2,1,1,0,,,,0,0,,,9,1,0,1,0,0,0,7,0,3,4,0,1,1,,,0,0,8,1,0,,1,,0,5,0,5,0,0,2,,,,1,1,,,3,0,0,0,0,0,0,2,,0,2,0,0,1,0,,,1,0,,,,,5,0,0,0,0,0,0,4,0,0,3,1,0,1,1,,0,0,0,,,
,남구,사고건수,168,52,21,9,3,2,17,112,3,59,23,27,4,2,,,2,,,,136,48,26,4,2,,16,82,6,41,18,17,6,,,,6,,142,58,36,1,6,4,11,81,7,40,23,11,3,,,,3,,,,140,59,39,1,3,,16,80,,9,45,10,16,1,,,,1,,,,,,131,50,27,3,2,,18,78,,,44,17,17,3,,,,3,,,,
,,사망자수,8,2,2,0,0,0,0,6,0,1,1,4,0,0,,,0,,,,2,1,1,0,0,,0,1,0,0,1,0,0,,,,0,,5,4,4,0,0,0,0,0,0,0,0,0,1,,,,1,,,,9,7,7,0,0,,0,2,,1,0,1,0,0,,,,0,,,,,,8,6,5,0,0,,1,2,,,2,0,0,0,,,,0,,,,
,,부상자수,181,51,20,9,3,2,17,126,4,71,25,26,4,2,,,2,,,,149,48,25,5,2,,16,95,6,53,19,17,6,,,,6,,146,54,32,1,6,4,11,89,9,43,26,11,3,,,,3,,,,154,55,34,1,3,,17,98,,12,54,11,21,1,,,,1,,,,,,141,44,22,3,2,,17,94,,,53,20,21,3,,,,3,,,,
,,중상자수,67,31,13,6,2,1,9,33,0,21,6,6,3,2,,,1,,,,58,27,17,2,1,,7,28,2,19,1,6,3,,,,3,,49,34,24,0,3,2,5,14,1,9,2,2,1,,,,1,,,,55,35,23,1,2,,9,20,,5,9,1,5,0,,,,0,,,,,,52,30,17,2,1,,10,20,,,12,3,5,2,,,,2,,,,
,,경상자수,109,19,7,3,1,1,7,90,4,47,19,20,0,0,,,0,,,,88,21,8,3,1,,9,64,4,32,18,10,3,,,,3,,95,20,8,1,3,2,6,73,8,32,24,9,2,,,,2,,,,91,19,10,0,1,,8,71,,7,41,9,14,1,,,,1,,,,,,86,14,5,1,1,,7,71,,,39,16,16,1,,,,1,,,,
,,부상신고자수,5,1,0,0,0,0,1,3,0,3,0,0,1,0,,,1,,,,3,0,0,0,0,,0,3,0,2,0,1,0,,,,0,,2,0,0,0,0,0,0,2,0,2,0,0,0,,,,0,,,,8,1,1,0,0,,0,7,,0,4,1,2,0,,,,0,,,,,,3,0,0,0,0,,0,3,,,2,1,0,0,,,,0,,,,
대전,합계,사고건수,786,276,128,24,22,16,86,426,17,198,104,107,84,6,,2,71,5,,,929,306,145,29,25,21,86,552,56,235,168,93,71,8,,,58,5,1064,348,238,13,32,16,49,637,38,315,200,84,79,3,,,67,9,,,1099,331,215,17,14,9,76,697,6,43,346,157,145,71,3,1,,58,5,,4,,,1176,361,143,35,16,17,150,752,2,16,330,168,236,63,6,,,55,1,1,,
,,사망자수,41,27,19,0,2,4,2,9,1,5,0,3,5,0,,2,2,1,,,36,22,17,2,0,0,3,13,1,6,2,4,1,1,,,0,0,38,23,19,0,1,0,3,13,1,9,1,2,2,0,,,0,2,,,27,22,14,1,2,1,4,5,0,1,2,2,0,0,0,0,,0,0,,0,,,34,24,16,4,2,1,1,7,0,0,3,0,4,3,3,,,0,0,0,,
,,부상자수,815,250,109,24,20,12,85,479,17,213,131,118,86,6,,1,70,9,,,978,287,128,27,25,22,85,620,67,258,192,103,71,8,,,58,5,1130,332,224,13,31,16,48,719,42,349,237,91,79,4,,,68,7,,,1172,312,202,16,12,8,74,786,6,47,390,179,164,74,4,1,,59,6,,4,,,1285,339,128,31,14,17,149,881,3,22,390,206,260,65,4,,,59,1,1,,
,,중상자수,398,174,80,18,13,10,53,169,6,84,31,48,55,3,,1,43,8,,,425,175,85,14,15,11,50,214,21,105,44,44,36,4,,,29,3,471,210,158,8,11,9,24,212,22,118,38,34,49,3,,,41,5,,,453,187,127,11,6,5,38,224,0,14,134,36,40,42,3,0,,32,4,,3,,,456,205,84,17,9,12,83,218,1,10,126,26,55,33,2,,,31,0,0,,
,,경상자수,404,71,27,5,7,2,30,303,11,123,100,69,30,3,,0,26,1,,,536,107,43,13,8,11,32,397,44,149,146,58,32,3,,,27,2,622,114,62,4,19,6,23,479,18,218,193,50,29,1,,,26,2,,,676,118,69,5,6,3,35,527,5,33,238,137,114,31,0,1,,27,2,,1,,,789,126,41,11,5,4,65,633,2,10,253,175,193,30,2,,,26,1,1,,
,,부상신고자수,13,5,2,1,0,0,2,7,0,6,0,1,1,0,,0,1,0,,,17,5,0,0,2,0,3,9,2,4,2,1,3,1,,,2,0,37,8,4,1,1,1,1,28,2,13,6,7,1,0,,,1,0,,,43,7,6,0,0,0,1,35,1,0,18,6,10,1,1,0,,0,0,,0,,,40,8,3,3,0,1,1,30,0,2,11,5,12,2,0,,,2,0,0,,
,동구,사고건수,174,74,35,8,8,8,15,79,2,46,24,7,21,1,,2,16,2,,,229,80,40,7,5,7,21,128,17,50,33,28,21,1,,,19,1,226,78,51,2,9,4,12,131,7,86,26,12,17,,,,15,2,,,203,68,49,,2,3,14,120,,11,72,25,12,15,,,,14,,,1,,,279,98,34,14,1,4,45,169,,7,86,33,43,12,,,,11,1,,,
,,사망자수,11,9,6,0,0,3,0,0,0,0,0,0,2,0,,2,0,0,,,12,8,6,2,0,0,0,3,0,1,2,0,1,1,,,0,0,8,5,4,0,0,0,1,2,0,2,0,0,1,,,,0,1,,,9,7,5,,0,1,1,2,,1,1,0,0,0,,,,0,,,0,,,11,7,4,2,0,0,1,4,,0,1,0,3,0,,,,0,0,,,
,,부상자수,175,65,29,8,8,5,15,90,2,50,30,8,20,1,,1,16,2,,,244,75,34,5,5,8,23,148,25,53,38,32,21,1,,,19,1,248,77,49,2,9,4,13,155,8,104,30,13,16,,,,15,1,,,215,62,44,,2,2,14,137,,13,83,27,14,16,,,,15,,,1,,,313,91,30,12,1,4,44,206,,11,114,38,43,16,,,,15,1,,,
,,중상자수,84,40,19,6,4,5,6,29,0,20,8,1,15,0,,1,12,2,,,102,44,22,3,2,3,14,45,5,22,8,10,13,1,,,11,1,109,44,32,0,2,2,8,57,4,43,6,4,8,,,,8,0,,,92,34,25,,1,2,6,47,,3,31,5,8,11,,,,10,,,1,,,119,50,19,6,1,4,20,65,,6,41,7,11,4,,,,4,0,,,
,,경상자수,87,23,9,1,4,0,9,59,2,28,22,7,5,1,,0,4,0,,,138,29,12,2,2,5,8,102,19,31,30,22,7,0,,,7,0,131,32,17,2,7,1,5,92,4,57,23,8,7,,,,6,1,,,121,26,17,,1,0,8,90,,10,52,22,6,5,,,,5,,,0,,,189,38,11,4,0,0,23,139,,4,72,31,32,12,,,,11,1,,,
